title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Closer,movie,"Drama, Romance",2004,7.2,243220
Cold Mountain,movie,"Adventure, Drama, Romance",2003,7.2,159974
Clerks,movie,Comedy,1994,7.7,236190
Space Jam,movie,"Adventure, Animation, Comedy",1996,6.5,220900
The Wounded Man,movie,"Crime, Drama, Romance",1983,6.6,1388
Beowulf,movie,"Action, Adventure, Animation",2007,6.3,176924
In the Name of the King: A Dungeon Siege Tale,movie,"Action, Adventure, Fantasy",2007,3.8,51944
Executive Decision,movie,"Action, Adventure, Thriller",1996,6.5,63215
Field of Dreams,movie,"Drama, Family, Fantasy",1989,7.5,133115
Taxi,movie,"Action, Comedy, Crime",1998,7,92309
Taxi 2,movie,"Action, Comedy, Crime",2000,6.5,60803
Taxi 3,movie,"Action, Comedy, Crime",2003,5.8,46975
Taxi 4,movie,"Action, Comedy, Crime",2007,5.6,31755
The Boat on the Grass,movie,Drama,1971,5.8,357
Asterix at the Olympic Games,movie,"Adventure, Comedy, Family",2008,5.2,33613
Joint Security Area,movie,"Action, Drama, Thriller",2000,7.7,35995
The Nativity Story,movie,"Adventure, Drama, Family",2006,6.8,12685
Tie Me Up! Tie Me Down!,movie,"Comedy, Crime, Drama",1989,7,33142
Nobody Knows,movie,Drama,2004,8,33202
Spanglish,movie,"Comedy, Drama, Romance",2004,6.4,90311
The Aviator,movie,"Biography, Drama",2004,7.5,393324
The Specialist,movie,"Action, Drama, Thriller",1994,5.6,71381
Two Weeks Notice,movie,"Comedy, Romance",2002,6.2,130057
The Game,movie,"Drama, Mystery, Thriller",1997,7.7,449013
The Blair Witch Project,movie,"Horror, Mystery",1999,6.5,300023
Ring,movie,"Horror, Mystery",1998,7.2,81205
Evan Almighty,movie,"Comedy, Family, Fantasy",2007,5.4,158542
The Other Side of the Bed,movie,"Comedy, Drama, Musical",2002,6.4,5928
Indochine,movie,"Drama, Romance, War",1992,7,11272
15 Minutes,movie,"Action, Crime, Drama",2001,6.1,52609
Addams Family Values,movie,"Comedy, Fantasy",1993,6.8,116176
American Pie 2,movie,Comedy,2001,6.4,277138
Rumor Has It...,movie,"Comedy, Drama, Romance",2005,5.5,63162
My Boss's Daughter,movie,"Comedy, Romance",2003,4.7,31091
Identity,movie,"Mystery, Thriller",2003,7.3,277668
As Good as It Gets,movie,"Comedy, Drama, Romance",1997,7.7,326888
The Addams Family,movie,"Comedy, Fantasy",1991,6.9,189965
License to Wed,movie,"Comedy, Romance",2007,5.3,41183
Hairspray,movie,"Comedy, Drama, Musical",2007,6.7,141845
