title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Summer Job,tv,"Game-Show, Reality-TV",2022,5.6,201
Crusade,tv,Crime,2022,6.8,412
Rubble & Crew,tv,Animation,2023,5.1,229
Strangers,tv,"Comedy, Drama, Romance",2023,7.3,411
Oxcart Trails,tv,"Drama, History",2023,7.2,14
23.5,tv,"Comedy, Romance",2024,8.1,1225
Cook at All Costs,tv,"Game-Show, Reality-TV",2022,6.4,466
Bitch X Rich,tv,"Drama, Mystery, Thriller",2023,6.6,707
Happy Battle,tv,"Drama, Thriller",2023,7.2,127
Doctor Cha Jeong Suk,tv,Drama,2023,7.5,2429
The Good Bad Mother,tv,"Comedy, Crime, Drama",2023,8.4,6123
My Sweet Mobster,tv,"Comedy, Drama, Romance",2024,7.7,1511
Destined with You,tv,"Drama, Fantasy, Romance",2023,7.6,6759
Piñata Masters!,tv,Reality-TV,2022,6.6,40
Alpha Males,tv,Comedy,2022,7.6,10124
Don't Pick Up the Phone,tv,"Crime, Documentary",2022,6.7,3103
Rebooting,tv,"Comedy, Drama, Fantasy",2023,8.5,1291
Against the Ropes,tv,"Comedy, Drama, Sport",2023,6.7,335
The Snow Girl,tv,"Crime, Drama, Mystery",2023,6.8,9832
Predators,tv,Documentary,2022,7.6,846
Bollywed,tv,Documentary,2023,6.6,153
Harry & Meghan,tv,"Biography, Documentary",2022,5.1,24196
Check the Store Next Door: A New Rival,tv,Comedy,2022,7.9,33
Brown and Friends,tv,"Animation, Comedy, Family",2022,8.2,103
The Great British Baking Show: Holidays,tv,Reality-TV,2018,8.1,456
Glitter,tv,Drama,2022,5.4,692
Romesh Ranganathan: The Cynic,tv,Comedy,2022,6.7,788
Queen of Tears,tv,"Comedy, Drama, Romance",2024,8.2,19718
"Bonn - Alte Freunde, neue Feinde",tv,"Drama, History, Thriller",2022,6.9,575
Queen of Masks,tv,Drama,2023,6.3,42
American Primeval,tv,"Action, Drama, Thriller",2025,8,60918
Beast of Bangalore: Indian Predator,tv,"Crime, Documentary",2022,6.2,747
Far from Home,tv,Drama,2022,6,462
The Ultimatum: France,tv,Reality-TV,2022,6.1,290
Madoff: The Monster of Wall Street,tv,"Crime, Documentary",2023,7.3,7893
Konya sukiyaki dayo,tv,Drama,2023,7.2,15
Zero Day,tv,"Drama, Thriller",2025,7,30081
Otto wo shakai-teki ni massatsu-suru 5tsu no hôhô,tv,"Drama, Thriller",2023,5.5,17
Let's Get Divorced,tv,"Comedy, Drama, Romance",2023,6.6,458
Why Didn't I Tell You a Million Times?,tv,"Drama, Fantasy, Romance",2023,6.9,328
The Days,tv,"Drama, History, Thriller",2023,7.2,7101
The Last Immortal,tv,"Drama, Fantasy, Romance",2023,7.2,447
Unnamed Memory,tv,"Adventure, Animation, Fantasy",2024,6.1,554
M-1 Grand Prix,tv,Comedy,2001,8.8,6
Sky High,tv,"Action, Adventure, Crime",2023,6.3,1656
Break Point,tv,"Documentary, Sport",2023,7.3,4668
Hi Venus,tv,Drama,2022,7.7,208
Meet Yourself,tv,"Drama, Romance",2023,8.2,734
Fireworks of My Heart,tv,"Action, Romance",2023,7.9,2034
Informa,tv,Drama,2023,6.8,295
Pressure Cooker,tv,Reality-TV,2023,6.4,1196
Can't Buy Me Love,tv,"Drama, Mystery, Romance",2023,6.7,245
Gangs of Oslo,tv,Crime,2023,5.9,972
Save Me,tv,"Crime, Drama, Mystery",2022,7.1,793
Live to Lead,tv,Documentary,2022,4.4,1291
El asesino de la baraja,tv,Documentary,2022,6.5,52
Triptych,tv,"Drama, Mystery, Thriller",2023,6.3,3088
Reverse 4 You,tv,"Drama, Romance",2024,7.5,356
The Blood of Youth,tv,"Action, Adventure, Drama",2022,8.3,604
Blood Coast,tv,"Action, Crime, Drama",2023,7,2718
Flight to You,tv,"Drama, Romance",2022,7.9,111
The Killing Vote,tv,"Drama, Thriller",2023,7.1,1793
Chemistry of Death,tv,"Crime, Thriller",2023,6.5,3445
Love Never Lies: Poland,tv,Reality-TV,2023,5.4,265
Shanty Town,tv,"Action, Crime, Drama",2023,4.7,480
Detective Forst,tv,"Crime, Drama, Mystery",2024,5.5,3730
"Go Ahead, Brother",tv,"Crime, Drama, Thriller",2024,7,1633
The Trauma Code: Heroes on Call,tv,Drama,2025,8.4,5363
Bardot,tv,"Biography, Drama, History",2023,6.4,734
Gunther's Millions,tv,Documentary,2023,5.6,876
Eric,tv,"Crime, Drama, Thriller",2024,6.9,38519
Trial by Fire,tv,"Crime, Drama, History",2023,7.7,4495
Make My Day,tv,"Adventure, Animation, Drama",2023,5.4,723
The Vexations of a Shut-In Vampire Princess,tv,"Action, Animation, Comedy",2023,6.9,734
Zom 100: Bucket List of the Dead,tv,"Action, Adventure, Animation",2023,7.3,10694
A Girl and an Astronaut,tv,"Drama, Romance, Sci-Fi",2023,4.9,1508
Zombieverse,tv,"Comedy, Game-Show, Horror",2023,4.5,1271
Vivant,tv,Drama,2023,7.1,704
Miniforce,tv,"Action, Adventure, Animation",2014,5.1,103
Full Swing,tv,"Documentary, Sport",2023,8,4522
At the Moment,tv,"Drama, Romance",2023,6.9,463
The Exchange,tv,Drama,2023,6.6,1017
Trailer Park Boys: Park After Dark,tv,Comedy,2019,8.9,105
Korea-Khitan War,tv,"Action, Drama, History",2023,8.1,287
A Good Girl's Guide to Murder,tv,"Crime, Drama, Mystery",2024,6.8,18351
Utsubora,tv,"Drama, Mystery",2023,6.4,9
In Love All Over Again,tv,"Comedy, Drama, Romance",2023,6.3,1652
Nineteen to Twenty,tv,"Reality-TV, Romance",2023,7.9,466
In the Name of God: A Holy Betrayal,tv,"Crime, Documentary",2023,7.1,934
Project: High Council,tv,"Action, Crime, Drama",2023,7.8,440
Perfect Match,tv,"Reality-TV, Romance",2023,5.8,2410
Murdaugh Murders: A Southern Scandal,tv,"Crime, Documentary",2023,6.8,11852
My Demon,tv,"Comedy, Drama, Fantasy",2023,7.7,14759
Not Quite Narwhal,tv,"Adventure, Animation, Comedy",2023,6.4,141
Dew Drop Diaries,tv,"Adventure, Animation, Comedy",2023,8.1,78
Meekah,tv,Family,2022,5.6,55
Lego Friends: The Next Chapter,tv,Animation,2023,7.7,61
Sunshine Eyes,tv,Drama,2023,6.8,11
Asbest,tv,"Crime, Drama",2023,6,747
African Queens: Njinga,tv,"Documentary, Drama, History",2023,3.1,2696
The Law According to Lidia Poët,tv,"Biography, Crime, Drama",2023,7.5,10217
Ever Night 2,tv,"Action, Adventure, Drama",2020,6.7,223
Delete,tv,"Drama, Horror, Romance",2023,6.3,1399
Little Angel,tv,"Animation, Family, Music",2022,2.7,26
Too Hot to Handle: Germany,tv,"Game-Show, Reality-TV, Romance",2023,4.6,532
Eva Lasting,tv,"Drama, Romance",2023,7.8,1842
Who Were We Running From?,tv,"Crime, Drama, Thriller",2023,5.8,4585
Community Squad,tv,"Comedy, Crime",2023,7.5,2638
#NoFilter,tv,Comedy,2023,6,170
Cheat,tv,"Game-Show, Reality-TV",2023,6,363
When Life Gives You Tangerines,tv,"Drama, History, Romance",2025,9.3,1266
Boiling Point,tv,"Drama, Thriller",2023,7.8,5021
Exploding Kittens,tv,"Animation, Comedy",2024,6.8,4897
Okavango: River of Dreams,tv,Documentary,2019,8,159
Welcome to Samdalri,tv,"Comedy, Drama, Romance",2023,8,7508
The Frog,tv,"Crime, Drama, Mystery",2024,6.8,4823
Unstable,tv,Comedy,2023,6.7,10650
The Romantics,tv,Documentary,2023,7.8,2260
Bill Russell: Legend,tv,"Biography, Documentary, Sport",2023,7.8,1722
Outlast,tv,"Adventure, Game-Show, Reality-TV",2023,5.3,4867
Una vida Bárbara,tv,Documentary,2023,7.1,44
A Body That Works,tv,Drama,2023,7.7,623
Winter Palace,tv,"Drama, History",2024,5.8,248
Waco: American Apocalypse,tv,"Crime, Documentary",2023,7,8461
Ishura,tv,"Action, Adventure, Animation",2024,6.4,750
Peak Time,tv,Music,2023,7.6,14
MH370: The Plane That Disappeared,tv,Documentary,2023,6.1,14979
War Sailor,tv,"Drama, War",2023,7.2,2838
The Perfect Couple,tv,"Crime, Drama, Mystery",2024,6.5,61388
Dance 100,tv,"Game-Show, Reality-TV",2023,6.2,555
Ariyoshi Assists,tv,"Comedy, Reality-TV",2023,6.7,51
Fool Me Once,tv,"Crime, Drama, Mystery",2024,6.8,63534
100 Days to Indy,tv,"Documentary, Sport",2023,7.8,179
Knight Flower,tv,"Action, Comedy, Drama",2024,7.6,717
East Side,tv,Drama,2023,7.7,216
Unseen,tv,"Crime, Drama, Thriller",2023,5.9,1208
Under Guardianship,tv,Drama,2023,8.5,899
Quarterback,tv,"Documentary, Sport",2023,8,5064
Naam,tv,"Drama, Fantasy, Musical",2020,8,499
Monique Olivier: Accessory to Evil,tv,"Crime, Documentary",2023,6.8,1543
Fiasco,tv,Comedy,2024,6.4,1735
The Tiny Chef Show,tv,"Animation, Family, Short",2022,7.3,248
Muted,tv,"Crime, Drama, Mystery",2023,5.6,5784
FUBAR,tv,"Action, Adventure, Comedy",2023,6.5,39676
Pokémon Concierge,tv,"Adventure, Animation, Comedy",2023,7.5,3027
Doctor Elise: The Royal Lady with the Lamp,tv,"Animation, Fantasy, Romance",2024,6.8,651
Unicorn Academy,tv,"Adventure, Animation, Comedy",2023,6.6,435
Emergency NYC,tv,Documentary,2023,8.2,1454
I am Hope,tv,"Drama, War",2023,7.1,111
Act Your Age,tv,Comedy,2023,7.2,454
Olipa kerran elämä,tv,"Comedy, Game-Show",2017,5.5,18
The Law of the Jungle,tv,"Action, Adventure, Reality-TV",2023,6.1,164
Trade War,tv,"Biography, Drama, History",2024,7.5,64
The Nurse,tv,"Biography, Crime, Drama",2023,6.9,5872
Tabloid,tv,"Crime, Drama, Mystery",2025,6.7,44
Lovely Villain,tv,"Drama, Thriller",2023,6.4,13
Living,tv,Drama,2023,7.7,203
Wave Makers,tv,Drama,2023,8.1,1540
Replacing Chef Chico,tv,"Drama, Romance",2023,6.6,358
Erin & Aaron,tv,"Comedy, Drama, Family",2023,5.3,410
"Exterior, Night",tv,"Crime, Drama, History",2022,7.7,1903
Wolf,tv,"Crime, Drama, Thriller",2023,6.8,4329
The Kingdom,tv,Drama,2021,8,35
Polowanie na cmy,tv,"Drama, History, War",2023,6.2,62
Doctor Slump,tv,"Comedy, Drama, Romance",2024,7.5,5421
American Manhunt: The Boston Marathon Bombing,tv,"Crime, Documentary, History",2023,7.5,7850
Queen of Divorce,tv,Drama,2024,6.5,334
Thicker Than Water,tv,"Crime, Thriller",2023,5.8,768
3-nen Z-gumi Ginpachi Sensei,tv,"Animation, Comedy",,,
Landlord,tv,Drama,2022,6.6,39
Mr. Villain's Day Off,tv,"Animation, Comedy",2024,6.6,348
Undead Murder Farce,tv,"Animation, Drama, Fantasy",2023,7.6,1241
Metallic Rouge,tv,"Action, Adventure, Animation",2024,6,539
Chimp Empire,tv,Documentary,2023,8.2,3785
How to Get Rich,tv,Documentary,2023,6.3,1655
Logically Impossible! Detective Ryoko Kamizuru Is on the Case,tv,Mystery,2023,6.8,56
Jellyfish Can't Swim in the Night,tv,"Animation, Comedy, Drama",2024,7.4,421
Pending Train,tv,"Drama, Sci-Fi, Thriller",2023,5.9,684
0.5 no Otoko,tv,Drama,2023,7.8,118
Yakitori: Soldiers of Misfortune,tv,"Action, Adventure, Animation",2023,6.5,769
Ôoku: The Inner Chambers,tv,"Animation, Drama, Fantasy",2023,7.2,1279
Obsession,tv,"Drama, Mystery, Romance",2023,5.2,10547
The Whirlwind,tv,"Drama, Thriller",2024,7.3,806
The Chosen One,tv,"Action, Adventure, Drama",2023,5.7,1980
Alone Australia,tv,"Game-Show, Reality-TV",2023,6.5,730
"African Folktales, Reimagined",tv,Drama,2023,6.2,252
Hi Cookie,tv,"Crime, Drama, Mystery",2023,6.4,199
Wind Breaker,tv,"Action, Adventure, Animation",2024,7.5,4780
Running for the Truth: Alex Schwazer,tv,"Crime, Documentary, Sport",2023,7.5,572
IRL: In Real Love,tv,"Reality-TV, Romance",2023,3.3,247
King of Collectibles: The Goldin Touch,tv,Reality-TV,2023,6.6,1418
Love After Music,tv,"Biography, Drama, Music",2023,7.6,1958
Rough Diamonds,tv,"Crime, Drama, Thriller",2023,7.1,5076
La Firma,tv,"Music, Reality-TV",2023,7.2,76
Firefighter Daigo: Rescuer in Orange,tv,"Action, Animation, Drama",2023,5.9,122
Billionaire Island,tv,"Comedy, Drama",2024,6.3,1350
The Åre Murders,tv,"Crime, Drama, Mystery",2025,6.7,8835
Dance Brothers,tv,Drama,2023,5.3,167
Larva Family,tv,"Adventure, Animation, Comedy",2023,6.6,82
Drop,tv,"Drama, Comedy, Action & Adventure",2023,,
JDM Legends,tv,Reality-TV,2018,7.4,51
Risqué Business: Japan,tv,Talk-Show,2023,6.8,339
Stranded with My Mother-in-Law,tv,Reality-TV,2023,6.3,516
Tooth Pari: When Love Bites,tv,"Comedy, Fantasy, Romance",2023,6.9,3294
Queen Cleopatra,tv,"Documentary, Drama, History",2023,1.2,86768
Los pacientes del doctor García,tv,Drama,2023,6.9,939
Light the Wild,tv,Reality-TV,2023,6.4,33
The Bento Brings Happiness,tv,Drama,2023,6.5,13
Desperate Lies,tv,"Drama, Romance",2024,6.8,1343
The Ultimatum: Queer Love,tv,Reality-TV,2023,6.8,1338
Love Village,tv,"Reality-TV, Romance",2022,7.3,314
Pseudo Harem,tv,"Animation, Comedy, Romance",2024,7.2,797
This Is Not Sweden,tv,"Comedy, Drama",2023,7,275
The Assassins,tv,"Action, Adventure, Biography",2024,7.4,2835
Like Flowers in Sand,tv,"Comedy, Mystery, Romance",2023,7.5,668
Jewish Matchmaking,tv,"Reality-TV, Romance",2023,6,883
Kitti Katz,tv,"Action, Adventure, Animation",2023,6.5,123
The Long Season,tv,"Crime, Drama, Family",2023,8.8,1401
Love & Hip Hop: Atlanta: Run It Back,tv,Reality-TV,2023,6.1,35
A Man in Full,tv,Drama,2024,6.5,14711
Barracuda Queens,tv,"Crime, Drama, Thriller",2023,6.4,2520
Bartender: Glass of God,tv,"Animation, Drama",2024,7.1,712
Blue Eye Samurai,tv,"Action, Adventure, Animation",2023,8.7,88143
Little Baby Bum: Music Time,tv,"Animation, Comedy, Family",2023,6.6,39
McGregor Forever,tv,"Documentary, Sport",2023,7,4286
LEGO® DreamZzz,tv,"Action, Adventure, Animation",2023,6.2,330
Tour de France: Unchained,tv,"Documentary, Sport",2023,8.2,5321
Missing: Dead or Alive?,tv,"Crime, Documentary",2023,5.8,2053
The Leopard,tv,"Drama, History",2025,7.3,1012
Working: What We Do All Day,tv,Documentary,2023,6.7,1055
1992,tv,"Action, Adventure, Crime",2024,5.6,1849
Mermaze Mermaidz,tv,"Animation, Fantasy",2022,7.2,38
MerPeople,tv,Documentary,2023,6.5,730
I Am Nobody,tv,"Action, Adventure, Drama",2023,7.5,476
Arnold,tv,"Biography, Documentary",2023,8,23098
A Perfect Story,tv,"Drama, Romance",2023,7.4,5052
Bastions,tv,"Action, Adventure, Animation",2023,8.3,48
Tex Mex Motors,tv,Reality-TV,2023,6.7,991
Hierarchy,tv,"Drama, Romance, Thriller",2024,6,3708
Scoop,tv,"Biography, Crime, Drama",2023,7.6,6137
Luz: The Light of the Heart,tv,"Adventure, Comedy, Family",2024,6.9,197
The Tale of Lady Ok,tv,"Drama, History, Romance",2024,8,549
"Wake Up, Carlo!",tv,"Animation, Comedy, Family",2023,8.1,230
Sleeping Dog,tv,"Crime, Drama, Mystery",2023,6.6,4726
BUCCHIGIRI?!,tv,"Action, Adventure, Animation",2024,6.2,998
Siren: Survive the Island,tv,"Game-Show, Reality-TV",2023,8,2846
The Brothers Sun,tv,"Action, Comedy, Drama",2024,7.5,28134
Gangs of Galicia,tv,"Crime, Drama, Thriller",2024,6.4,2078
La ley del mar,tv,Drama,2024,6.8,170
Survival of the Thickest,tv,Comedy,2023,7.5,5335
"Gumbeobnamnyeo 2, Overdose 1: An Unexpected Reunion",tv,"Crime, Drama, Mystery",2019,8.2,16
Akuma-kun,tv,"Adventure, Animation, Family",1989,7.5,21
Who Is Erin Carter?,tv,"Action, Adventure, Crime",2023,6.5,22703
The Surrogacy,tv,Drama,2023,5.8,606
Fake Profile,tv,"Drama, Romance, Thriller",2023,5.7,5453
Depp V Heard,tv,"Crime, Documentary",2023,5.2,8473
13 días,tv,Documentary,2023,6.6,86
Good Times,tv,"Animation, Comedy",2024,4.1,1438
Una squadra,tv,Documentary,2022,8.2,100
Five Star Chef,tv,"Game-Show, Reality-TV",2023,6.5,1011
Fatal Seduction,tv,"Crime, Drama, Mystery",2023,4.9,1592
Miss Adrenaline: A Tale of Twins,tv,"Crime, Drama, Romance",2023,7.1,247
Detective Touré,tv,Drama,2024,7.2,79
Average Joe,tv,"Comedy, Drama",2023,7.3,1974
Vida the Vet,tv,Animation,2024,7,53
Hayabusa shôbôdan,tv,Adventure,2023,7.6,54
Knokin'on Locked Door,tv,Mystery,2023,5.8,13
One Night,tv,Drama,2023,6.8,969
When I Fly Towards You,tv,"Comedy, Drama, Romance",2023,8.5,2224
Muscles & Mayhem: An Unauthorized Story of American Gladiators,tv,"Documentary, History, Sport",2023,7.2,3323
Deep Fake Love,tv,"Reality-TV, Romance",2023,4.4,358
Vasco Rossi: Living It,tv,"Biography, Documentary, Music",2023,7.5,173
Hack My Home,tv,Reality-TV,2023,6.4,879
Our Fake Marriage,tv,"Comedy, Drama, Romance",2023,6.6,66
Turn to me Mukai-kun,tv,"Comedy, Romance",2023,7.4,312
Tenshoku no maô,tv,Drama,2023,7.1,18
Saitama Host Club,tv,Comedy,2023,6,35
Cigarette Girl,tv,"Drama, History, Romance",2023,8.1,2351
Joko Anwar's Nightmares and Daydreams,tv,"Drama, Horror, Mystery",2024,6.5,2542
Wonders of the World I Can't See,tv,Documentary,2023,6.9,62
Royal Blood,tv,"Action, Crime, Drama",2023,6.4,89
The Banished Former Hero Lives as He Pleases,tv,"Action, Adventure, Animation",2024,5.1,348
Seven Figures,tv,Comedy,2023,7.8,156
Captain Fall,tv,"Animation, Comedy",2023,6.9,5118
The Tale of Rose,tv,Drama,2024,7.1,347
Dear Child,tv,"Crime, Drama, Mystery",2023,7.3,30902
The Playing Card Killer,tv,"Crime, Documentary, History",2023,6.2,948
Trillion Game,tv,Drama,2023,7.7,561
"'Tis Time for ""Torture, "" Princess",tv,"Animation, Comedy, Fantasy",2024,6.4,249
Devil's Advocate,tv,"Crime, Drama, Mystery",2023,6.2,450
My Daughter Left the Nest and Returned an S-Rank Adventurer,tv,"Action, Animation, Comedy",2023,6.3,299
Spice and Wolf: Merchant Meets the Wise Wolf,tv,"Adventure, Animation, Drama",2024,7.4,963
Sugar Rush: The Baking Point,tv,"Game-Show, Reality-TV",2023,5.6,84
VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,tv,"Animation, Comedy",2024,5.7,191
The Three Detectives,tv,"Crime, Drama, Family",2023,6.9,196
Champion,tv,"Drama, Musical",2023,6.8,733
Gundam: Requiem for Vengeance,tv,"Action, Adventure, Animation",2024,6.5,2421
Night Has Come,tv,"Horror, Mystery, Thriller",2023,7.1,2511
Suicide Squad Isekai,tv,"Action, Adventure, Animation",2024,6.3,2147
Burning Body,tv,"Biography, Crime, Drama",2023,6.7,6964
The Matchmakers,tv,"Comedy, History, Romance",2023,7.5,727
Kohrra,tv,"Crime, Drama, Thriller",2023,7.5,9892
How to Become a Cult Leader,tv,"Crime, Documentary",2023,6.6,2528
A Returner's Magic Should Be Special,tv,"Action, Adventure, Animation",2023,6.6,1251
A Sign of Affection,tv,"Animation, Comedy, Drama",2024,7.7,2790
Breathless,tv,Drama,2024,6.5,2517
Hound's Hill,tv,"Drama, Mystery, Thriller",2025,5.9,1193
Lighthouse,tv,Talk-Show,2023,7.1,39
Feedback,tv,"Crime, Drama",2023,7.1,1398
Infamy,tv,"Drama, Music",2023,7.3,935
Absolute Beginners,tv,"Drama, Romance",2023,7.2,1605
Choona,tv,"Comedy, Crime, Drama",2023,6.5,1886
Perfect Marriage Revenge,tv,"Drama, Fantasy, Romance",2023,7.8,2342
The Hunt for Veerappan,tv,"Biography, Crime, Documentary",2023,7.9,3003
The Trunk,tv,"Drama, Mystery, Romance",2024,7,3513
Be Your Own Light,tv,Drama,2023,8.1,30
The Big Nailed It Baking Challenge,tv,"Game-Show, Reality-TV",2023,7.3,380
The Demon Prince of Momochi House,tv,"Animation, Fantasy, Romance",2024,6.2,315
Lovely Runner,tv,"Comedy, Fantasy, Music",2024,8.6,10224
Moon in the Day,tv,"Fantasy, History, Romance",2023,7.1,972
At Home with the Furys,tv,"Documentary, Reality-TV, Sport",2023,7,1334
The Last Hours of Mario Biondo,tv,"Crime, Documentary",2023,5.1,772
Ladies First: A Story of Women in Hip-Hop,tv,"Documentary, Music",2023,7.2,339
6ixtynin9: The Series,tv,"Comedy, Crime, Thriller",2023,6.1,920
Live to 100: Secrets of the Blue Zones,tv,"Adventure, Documentary",2023,7.8,3874
House of Sims,tv,Reality-TV,2023,4.3,102
Good Night World,tv,"Animation, Comedy, Drama",2023,6.4,959
Thursday's Widows,tv,"Drama, Thriller",2023,6.2,1291
Mermaid Magic,tv,"Adventure, Animation, Comedy",2024,7.3,160
Deliver Me,tv,"Drama, Mystery, Thriller",2024,6.5,2207
Midsummer Night,tv,Drama,2024,6.6,2675
Miss Night and Day,tv,"Comedy, Fantasy, Romance",2024,7.6,2140
Oblivion Battery,tv,"Animation, Comedy, Sport",2024,7.3,297
Grendizer U,tv,"Action, Adventure, Animation",2024,6.5,609
Supertrons,tv,"Action, Adventure, Animation",2023,7.9,11
Toxic Town,tv,Drama,2025,7.6,4084
Spy Ops,tv,"Documentary, History",2023,6.3,1219
Tengu no daidokoro,tv,Drama,2023,7.4,16
Love Like a K-Drama,tv,"Game-Show, Reality-TV, Romance",2023,6.4,157
"The Cheery Lee, Village Headman",tv,"Comedy, Drama",2023,7.2,6
The Atypical Family,tv,"Drama, Fantasy, Romance",2024,7.6,3646
Reporting for Duty,tv,"Comedy, Crime",2023,5.5,280
Heart of Invictus,tv,"Documentary, Sport",2023,5.4,3120
Encounters,tv,"Documentary, History",2023,6.4,2083
Shaman King: Flowers,tv,"Action, Adventure, Animation",2024,6.6,150
The Bride of Naga,tv,"Drama, Fantasy, Romance",2023,7.1,16
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy,tv,"Animation, Fantasy, Romance",2024,7.3,1771
Comedy Chaos,tv,Comedy,2024,5.8,166
Wrestlers,tv,"Documentary, Sport",2023,8.1,2095
Tahir's House,tv,Comedy,2023,5.4,186
Barbie: A Touch of Magic,tv,"Adventure, Animation, Comedy",2023,5.7,150
The Heart,tv,Drama,2023,7.8,34
Treat Me Carelessly,tv,"Comedy, Romance",2024,6.2,153
Love Scout,tv,"Comedy, Drama, Romance",2025,7.9,1548
My Home Hero,tv,"Crime, Drama, Thriller",2023,6.9,70
Only for Love,tv,"Comedy, Drama, Romance",2022,7.5,1348
Captivating the King,tv,"Drama, History, Romance",2024,7.6,1562
Eddie's Lil' Homies,tv,"Animation, Comedy, Family",2024,7.1,30
Risqué Business: Taiwan,tv,Talk-Show,2023,6.5,157
World War II: From the Frontlines,tv,"Documentary, History, War",2023,8.2,6363
My Happy End,tv,"Drama, Thriller",2023,6.4,382
Miseducation,tv,"Comedy, Drama, Romance",2023,5.4,271
Hard Broken,tv,"Drama, Mystery, Thriller",2023,4.7,18
"Lasa-ma, imi place! Camera 609",tv,Comedy,2023,7.6,111
I Can't Reach You,tv,"Drama, Romance",2023,7.6,1230
Rainbow Bubblegem,tv,"Adventure, Animation, Comedy",2023,8.7,59
Kader Baglari,tv,"Drama, Romance",2023,4.4,721
Sunshine by My Side,tv,"Comedy, Drama, Romance",2023,7.7,866
Entre tierras,tv,Drama,2023,6.6,702
Bodies,tv,"Crime, Drama, Sci-Fi",2023,7.3,61850
Who Killed Jill Dando?,tv,"Crime, Documentary, History",2023,6.3,2822
Fermat's Cuisine,tv,Drama,2023,7.2,313
Baby Gorilla Cam,tv,Documentary,2023,5.6,27
Hormonit!,tv,"Comedy, Drama, Romance",2023,6.8,88
Is She the Wolf?,tv,"Reality-TV, Romance",2023,6.5,214
Barrumbi Kids,tv,Family,2022,8.9,32
Pon no Michi,tv,"Animation, Comedy",2024,5.9,29
Everything Now,tv,"Comedy, Drama",2023,6.8,3731
If I Were Luísa Sonza,tv,"Biography, Documentary, Music",2023,5.9,208
Sweat,tv,Comedy,2023,6.2,27
"18sai, nîzuma, furin-shimasu.",tv,Romance,2023,6.7,39
Per Elisa - Il caso Claps,tv,Thriller,2023,7.6,588
Barbie Mysteries: The Great Horse Chase,tv,"Adventure, Animation, Comedy",2024,6.4,72
Connection,tv,"Action, Crime, Mystery",2024,7.8,1014
Michelle Wolf: It's Great to Be Here,tv,Comedy,2023,7.5,646
Beyond Goodbye,tv,"Drama, Romance",2024,7,602
Masters of the Universe: Revolution,tv,"Action, Adventure, Animation",2024,7.5,3343
Pact of Silence,tv,"Crime, Drama, Thriller",2023,6.7,1352
My New Boss Is Goofy,tv,"Animation, Comedy",2023,7.6,463
"Ça va bien se passer, Dadju",tv,Documentary,2023,,
The Burning Girls,tv,"Drama, Horror, Thriller",2023,6.8,2584
A Wonderful Journey,tv,Drama,2024,7.3,18
Our Fragile Strength,tv,Drama,2024,7.7,343
All That Glitters,tv,Crime,2024,8,36
I Woke Up a Vampire,tv,"Comedy, Family, Fantasy",2023,5.2,823
Tore,tv,"Comedy, Drama",2023,6.9,2539
Beckham,tv,"Biography, Documentary, Sport",2023,8.1,38502
Judge Dee's Mystery,tv,"Drama, Mystery",2024,7.2,347
Suburræterna,tv,"Action, Crime, Drama",2023,6.5,1874
The Legend of Heroes,tv,"Action, Adventure, Drama",2024,7.2,101
Kaala Paani,tv,"Drama, Thriller",2023,8,11097
Re: Monster,tv,"Action, Adventure, Animation",2024,6.4,1550
Extreme Team,tv,"Action, Comedy, Mystery",2023,7.5,14
Surviving Paradise,tv,"Game-Show, Reality-TV",2023,5.8,635
Big Vape: The Rise and Fall of Juul,tv,Documentary,2023,6.7,2427
We Were Kings,tv,Drama,2024,5.2,165
A Nearly Normal Family,tv,"Crime, Drama, Thriller",2023,6.9,16576
In Blossom,tv,"Drama, Fantasy, Romance",2024,6.9,171
Uncle,tv,Drama,2023,,
Twenty-five,tv,Reality-TV,2023,,
Gray,tv,Thriller,2023,6,1234
Love Rats,tv,"Crime, Documentary",2022,6,54
Obituary,tv,"Comedy, Crime, Drama",2023,7,2025
Operandi Gerhana,tv,"Action, Crime, Drama",2023,7.9,18
Teasing Master Takagi-san,tv,"Comedy, Drama, Romance",2024,7.8,395
Crashing Eid,tv,"Comedy, Drama",2023,6.9,883
Criminal Code,tv,"Action, Crime, Drama",2023,7.2,2353
Hot Wheels Let's Race,tv,"Action, Adventure, Animation",2024,5.9,210
Dee & Friends in Oz,tv,"Adventure, Animation, Comedy",2024,7.3,104
Get Gotti,tv,"Crime, Documentary",2023,7,3322
Robbie Williams,tv,"Biography, Documentary, Music",2023,7.2,4784
Shasha and Milo,tv,"Action, Animation, Comedy",2023,8.1,53
Side Dish,tv,Drama,2018,7.1,15
Itxaso,tv,Drama,2023,6.2,67
My Instant Death Ability is Overpowered,tv,"Action, Adventure, Animation",2024,6.2,918
Kai chuang zhe,tv,Drama,2023,,
The Gentlemen,tv,"Action, Comedy, Crime",2024,8,157652
T-P Bon,tv,"Adventure, Animation, Comedy",2024,6.6,337
Escaping Twin Flames,tv,"Biography, Documentary",2023,6.7,5047
Parole Examiner Lee,tv,"Crime, Drama, Mystery",2024,7.1,144
Bank Under Siege,tv,"Action, Crime, Thriller",2024,6.6,2194
1670,tv,"Comedy, History",2023,7.9,7189
